Model,Run_Name,Elo,Win_Rate
chatgpt-4o-latest,TicTacToe-v0_1x_FINAL_MODELS_basic_variant_1,1442.4592,0.1667
chatgpt-4o-latest,TicTacToe-v0_1x_FINAL_MODELS_basic_variant_2,1416.7872,0.0000
chatgpt-4o-latest,TicTacToe-v0_1x_FINAL_MODELS_basic_variant_3,1428.4546,0.0000
chatgpt-4o-latest,TicTacToe-v0_1x_FINAL_MODELS_basic_variant_4,1496.5649,0.3333
chatgpt-4o-latest,TicTacToe-v0_1x_FINAL_MODELS_basic_variant_5,1466.5152,0.3333
deepseek-r1,TicTacToe-v0_1x_FINAL_MODELS_basic_variant_1,1555.3279,0.6667
deepseek-r1,TicTacToe-v0_1x_FINAL_MODELS_basic_variant_2,1541.5791,0.5000
deepseek-r1,TicTacToe-v0_1x_FINAL_MODELS_basic_variant_3,1515.3511,0.3333
deepseek-r1,TicTacToe-v0_1x_FINAL_MODELS_basic_variant_4,1526.9073,0.3333
deepseek-r1,TicTacToe-v0_1x_FINAL_MODELS_basic_variant_5,1572.5014,0.8333
gemini-2.5-flash,TicTacToe-v0_1x_FINAL_MODELS_basic_variant_1,1500.8523,0.3333
gemini-2.5-flash,TicTacToe-v0_1x_FINAL_MODELS_basic_variant_2,1468.2208,0.1667
gemini-2.5-flash,TicTacToe-v0_1x_FINAL_MODELS_basic_variant_3,1499.0606,0.5000
gemini-2.5-flash,TicTacToe-v0_1x_FINAL_MODELS_basic_variant_4,1454.1111,0.1667
gemini-2.5-flash,TicTacToe-v0_1x_FINAL_MODELS_basic_variant_5,1485.3155,0.3333
grok-3-mini,TicTacToe-v0_1x_FINAL_MODELS_basic_variant_1,1543.6237,0.6667
grok-3-mini,TicTacToe-v0_1x_FINAL_MODELS_basic_variant_2,1501.8326,0.3333
grok-3-mini,TicTacToe-v0_1x_FINAL_MODELS_basic_variant_3,1542.9739,0.5000
grok-3-mini,TicTacToe-v0_1x_FINAL_MODELS_basic_variant_4,1529.4349,0.3333
grok-3-mini,TicTacToe-v0_1x_FINAL_MODELS_basic_variant_5,1540.0413,0.6667
llama-4-maverick,TicTacToe-v0_1x_FINAL_MODELS_basic_variant_1,1428.9241,0.0000
llama-4-maverick,TicTacToe-v0_1x_FINAL_MODELS_basic_variant_2,1488.5300,0.3333
llama-4-maverick,TicTacToe-v0_1x_FINAL_MODELS_basic_variant_3,1443.5464,0.0000
llama-4-maverick,TicTacToe-v0_1x_FINAL_MODELS_basic_variant_4,1443.6006,0.0000
llama-4-maverick,TicTacToe-v0_1x_FINAL_MODELS_basic_variant_5,1455.5451,0.1667
o3-mini,TicTacToe-v0_1x_FINAL_MODELS_basic_variant_1,1514.8216,0.5000
o3-mini,TicTacToe-v0_1x_FINAL_MODELS_basic_variant_2,1570.9494,0.8333
o3-mini,TicTacToe-v0_1x_FINAL_MODELS_basic_variant_3,1557.9334,0.6667
o3-mini,TicTacToe-v0_1x_FINAL_MODELS_basic_variant_4,1544.1762,0.5000
o3-mini,TicTacToe-v0_1x_FINAL_MODELS_basic_variant_5,1533.0991,0.5000
qwen3-235b-a22b-2507,TicTacToe-v0_1x_FINAL_MODELS_basic_variant_1,1513.9911,0.5000
qwen3-235b-a22b-2507,TicTacToe-v0_1x_FINAL_MODELS_basic_variant_2,1512.1009,0.5000
qwen3-235b-a22b-2507,TicTacToe-v0_1x_FINAL_MODELS_basic_variant_3,1512.6799,0.5000
qwen3-235b-a22b-2507,TicTacToe-v0_1x_FINAL_MODELS_basic_variant_4,1505.2051,0.3333
qwen3-235b-a22b-2507,TicTacToe-v0_1x_FINAL_MODELS_basic_variant_5,1446.9824,0.1667
